#{"t_start": 1772813248.3537831, "env_id": "None"}
r,l,t
-110.537614,200,5569.99388
-141.35002,200,5576.126684
-127.54122,200,5580.493985
-7.997258,36,5581.349285
-106.737094,200,5584.763031
-91.443015,200,5587.240199
-124.14473,200,5589.780875
-120.816395,200,5592.519631
-94.930049,200,5595.74116
-99.854704,200,5599.794647
-119.399069,200,5608.590182
-183.507272,200,5615.670338
-90.548601,200,5621.513315
-87.097409,200,5627.331107
-92.87642,200,5631.990976
-86.97641,167,5635.399967
-154.41686,200,5638.962457
-81.903425,200,5642.749023
-102.917156,200,5646.314869
-111.710127,200,5650.369646
-122.942213,200,5654.135404
-90.464289,200,5657.151166
-100.316775,200,5660.488328
2.289741,20,5660.913497
-158.874502,200,5667.288454
-108.032281,200,5670.992765
-156.058561,200,5673.763148
-97.211936,200,5677.545747
-108.426495,200,5682.035745
-84.501842,200,5685.91052
-102.905591,200,5688.722581
-130.299181,200,5691.639649
-121.514905,200,5694.812275
-101.824586,200,5698.853237
-1.491636,27,5699.406276
-112.605645,200,5701.908007
-120.896076,200,5704.441865
-120.945331,200,5707.025162
-118.791796,200,5709.777602
9.482789,3,5709.849398
-93.021368,200,5712.27533
-94.265413,200,5714.617746
-23.735392,68,5715.474301
-129.956151,200,5717.729925
-115.076465,200,5720.159296
-115.496364,200,5722.592988
-86.327198,200,5724.823702
-117.147798,200,5727.265488
-85.33803,200,5729.518726
-93.775568,200,5731.652052
-96.041384,200,5734.195016
-119.171767,200,5736.458085
-102.363362,200,5738.981684
-111.624569,200,5741.521696
-161.462967,200,5743.812856
-127.311575,200,5746.350674
-113.142794,200,5748.784879
-113.097338,200,5751.185859
-148.306748,200,5753.784873
-101.103879,200,5756.275536
-94.36853,200,5758.958547
-117.198777,200,5761.359349
-116.931053,200,5763.685976
-112.900647,200,5766.135503
-109.764945,200,5768.582223
-112.916723,200,5771.136395
-124.25717,200,5773.667807
-26.23575,67,5774.533888
-84.479881,200,5776.881319
-56.352572,150,5778.786072
-19.537609,53,5779.447667
-100.654141,200,5781.717874
-91.152327,200,5784.519165
-149.885526,200,5786.883253
-101.234188,200,5789.565872
-119.870416,200,5791.871727
-98.206791,200,5794.288148
-14.280634,52,5795.082095
-88.772532,200,5797.751482
-122.586406,200,5800.584307
-88.86886,200,5803.069235
-90.080659,200,5805.29066
-113.162375,200,5807.765246
-145.614953,200,5811.557142
-113.272611,200,5814.179281
-203.824264,200,5816.768741
-99.831246,200,5819.727654
-127.01526,200,5822.460251
-84.815285,200,5825.15786
-119.299413,200,5827.959663
9.353291,2,5828.023664
-171.31637,200,5830.545607
-118.387603,200,5833.14917
-171.641481,200,5836.082332
-70.699324,158,5843.769784
-109.332517,200,5849.208354
-119.739077,200,5852.258568
-110.507668,200,5855.711889
-137.56091,200,5858.89051
-107.105107,200,5870.18197
-11.852525,45,5871.766363
-100.296958,200,5877.24818
-99.489555,200,5880.97152
-100.403817,200,5887.311287
-113.390889,200,5891.002528
7.992824,6,5891.162217
-166.815617,200,5894.072451
-104.497196,200,5897.346983
-136.807655,200,5900.763476
-108.012768,200,5903.751812
-144.953866,200,5907.517271
-141.228321,200,5910.547018
-68.371698,200,5917.281022
-2.152871,30,5918.407237
-126.364348,200,5924.359011
-140.956528,200,5930.445318
-76.597336,180,5935.176434
-167.515386,200,5940.66651
-4.890855,34,5941.739362
-120.903505,200,5948.611329
-153.392098,200,5953.960868
-107.249582,200,5959.503631
-103.926941,200,5965.944072
-22.582003,70,5967.948193
-119.531917,200,5973.110975
-122.526579,200,5979.328662
-127.898125,200,5984.80114
-126.91825,200,5990.500703
-141.160943,200,5996.734291
-105.979226,200,6002.236578
-126.098245,200,6009.245458
-126.428535,200,6014.606718
-115.500395,200,6020.225703
-5.426113,41,6022.585554
-107.65409,200,6028.194082
-92.264923,200,6033.430145
-126.9716,200,6039.540521
-87.693243,200,6051.06919
-108.94611,200,6059.053326
-147.171828,200,6064.950333
-11.990609,50,6066.493361
-106.113605,200,6072.56245
-75.805138,137,6076.250888
-129.492748,200,6081.546167
-125.070724,200,6087.66755
-124.6257,200,6093.157669
-107.872494,200,6100.268776
-11.978931,56,6102.02315
-100.490901,200,6107.491542
-144.275198,200,6114.469508
-92.248709,200,6119.960264
-142.964159,200,6125.395179
-89.09511,185,6131.600752
-123.681268,200,6163.163467
-83.241471,200,6178.029143
-109.624204,200,6189.56078
7.496701,7,6190.091059
-92.705991,200,6203.433899
-103.407373,200,6215.370202
-97.393341,200,6218.786248
-133.395153,200,6224.479487
-120.137447,200,6233.31328
7.18188,9,6234.163256
-99.247802,200,6239.677015
-90.874455,200,6244.928412
-115.012281,200,6249.660651
-130.280922,200,6253.636654
-148.283019,200,6259.183655
-116.666295,200,6262.216217
-174.167418,200,6267.276346
5.949568,13,6267.520792
-57.274544,119,6269.765618
-111.505585,200,6272.848052
-135.766812,200,6276.492718
-170.161082,200,6280.940379
-128.580899,200,6285.305302
-104.399767,200,6289.563209
-113.036199,200,6293.508849
-129.026089,200,6297.591171
-109.817774,200,6301.812708
-116.945403,200,6304.492919
-99.071741,200,6308.298473
-108.18965,200,6312.60487
-127.091145,200,6315.909052
-140.338847,200,6320.122151
-162.545863,200,6323.813691
-138.377156,200,6327.091005
-120.512432,200,6330.856106
-91.910163,200,6335.709488
-101.505619,200,6338.802202
-13.356515,45,6339.619304
-117.154312,200,6344.321147
-93.083937,200,6348.567234
-98.196659,200,6351.229335
-124.5062,200,6354.930305
-40.600319,115,6357.255318
-95.163769,200,6361.577408
-122.957051,200,6365.146865
-103.29157,200,6367.838445
-106.782025,200,6370.484258
-102.698686,200,6374.009469
-110.334696,200,6378.945714
-106.259476,200,6383.43816
-121.758553,200,6387.209064
-107.577411,200,6390.171303
-49.452142,129,6392.429456
-115.630759,200,6395.40918
-137.008409,200,6398.278955
-130.939717,200,6401.230705
-104.942263,200,6404.115174
-116.509066,200,6407.30052
-112.341157,200,6410.430706
-112.529537,200,6413.408176
-138.262626,200,6416.407887
3.053909,17,6416.654023
-90.798194,200,6420.820101
-142.493551,200,6424.858243
-96.406992,200,6429.093627
-109.323305,200,6432.567132
-104.486961,200,6437.580652
-114.789034,200,6441.654238
-134.853722,200,6445.286566
-53.059843,146,6448.986768
-120.66329,200,6452.429309
-45.487301,97,6454.367564
-103.644311,200,6457.233863
-122.116873,200,6460.641792
-102.455168,200,6463.713135
-94.037762,200,6466.316302
6.911474,12,6466.507418
-100.267016,200,6469.728543
5.327665,13,6469.918803
-124.241128,200,6472.823161
-11.098558,47,6474.151228
-126.684427,200,6479.75844
-82.588614,200,6483.28622
-128.278846,200,6487.395447
-122.172632,200,6490.23723
-101.46131,200,6495.176899
-106.046379,200,6499.557176
-95.278,200,6502.453249
-93.135284,200,6505.880987
-97.491621,200,6510.861628
-121.468692,200,6515.553653
-14.179409,52,6516.362781
-141.482198,200,6520.277998
-98.578619,200,6525.270737
-105.972378,200,6530.213553
-152.655905,200,6534.722888
4.000055,18,6535.139735
-27.512025,99,6537.954475
-118.270868,200,6542.611199
-123.682589,200,6548.620658
-112.80891,200,6552.773117
-111.189758,200,6558.657517
-110.490874,200,6563.122758
-110.823818,200,6570.031533
-121.749843,200,6574.319707
-107.572209,200,6578.050182
-161.131909,200,6580.311959
-132.028746,200,6583.309072
-107.929536,200,6586.40303
-95.666657,200,6588.973702
-55.177585,102,6590.56117
-165.716098,200,6593.129599
-121.769812,200,6595.699248
-83.107537,200,6598.79313
-132.353575,200,6601.59228
-13.863066,79,6602.974095
-109.469126,200,6607.3899
-105.942573,200,6609.795685
-117.431043,200,6612.720604
-170.631049,200,6615.600735
-103.862721,200,6618.36972
-111.620676,200,6621.910325
-97.869388,200,6626.080496
-105.529553,200,6633.485694
-133.04848,200,6636.115342
-108.715181,200,6639.100662
-141.403457,200,6649.824864
6.62566,12,6650.131252
-117.470864,200,6655.256727
-150.456646,200,6661.66192
-127.197109,200,6664.870084
-137.706812,200,6667.938674
-23.087149,54,6668.666502
-150.109301,200,6671.456442
-106.234591,200,6675.076436
-107.466703,200,6678.392014
-86.415982,200,6681.372717
-101.831885,200,6684.54837
-108.208058,200,6686.762497
-132.534514,200,6688.96394
-116.196661,200,6692.720265
-117.201085,200,6695.952003
-129.475492,200,6698.761313
-85.899311,200,6701.355968
-101.806308,200,6704.081807
-114.000155,200,6706.536549
-112.850901,200,6708.835147
-119.216092,200,6711.270372
-93.122691,200,6713.684932
-131.874511,200,6716.238135
-109.096745,200,6718.744653
-37.637928,102,6720.329727
-109.986565,200,6722.960071
-109.545041,200,6725.678531
-101.338543,200,6728.606116
-125.279034,200,6731.31394
-110.79743,200,6733.769426
-106.326503,200,6736.290331
-122.753316,200,6738.926649
-82.590887,153,6740.857127
-54.598208,119,6742.445257
-105.454959,200,6744.866061
-94.912504,200,6747.193308
-8.023264,45,6747.77016
-90.636548,200,6750.315858
-119.588951,200,6753.23857
-101.022295,200,6756.068509
-96.463235,200,6758.453161
9.228997,2,6758.529733
-108.64101,200,6761.193393
-102.749503,200,6763.51673
-119.558412,200,6766.160998
-124.034203,200,6769.21709
-93.986723,200,6771.493612
-119.355478,200,6773.6503
-116.78738,200,6776.598656
-124.696215,200,6779.12287
-100.231521,200,6782.288159
-27.828263,63,6783.205706
-110.241396,200,6785.85121
-101.051397,200,6788.555397
-115.462006,200,6791.329629
-142.55706,200,6794.212473
-92.582554,200,6796.921224
-125.993872,200,6799.742142
-112.651023,200,6802.235666
-126.78566,200,6804.849666
-113.050816,200,6807.895015
-84.368205,200,6810.50934
-105.048874,200,6812.968099
-134.783641,200,6815.339279
-128.888061,200,6817.73616
-91.737893,200,6819.974488
-94.895722,200,6822.515253
-116.601838,200,6824.907509
-86.692809,179,6826.924959
-110.424657,200,6829.181388
-98.360964,200,6831.403148
-129.979883,200,6833.526739
